grid_cell,block_id,block_label,mean_site_species_occupancy,median_site_species_occupancy,corrected_richness,centroid_lon,centroid_lat,block_start,block_end
55,1,2000-2004,0.44208440027615126,0.42647300308841307,88.41688005523025,121.76672167788523,53.220628624847755,2000,2004
55,2,2005-2009,0.4535829709480379,0.4676227711374897,90.71659418960756,121.76672167788523,53.220628624847755,2005,2009
55,3,2010-2014,0.4653851841022253,0.5119241483695225,93.07703682044507,121.76672167788523,53.220628624847755,2010,2014
55,4,2015-2019,0.47033104987682695,0.4647538900916408,94.06620997536534,121.76672167788523,53.220628624847755,2015,2019
55,5,2020-2024,0.502463778779499,0.5717289495002814,100.49275575589986,121.76672167788523,53.220628624847755,2020,2024
56,1,2000-2004,0.4314203593290711,0.4005261946003713,86.28407186581428,122.6259880512578,53.26185729168209,2000,2004
56,2,2005-2009,0.4426852785242764,0.43161879509697065,88.53705570485525,122.6259880512578,53.26185729168209,2005,2009
56,3,2010-2014,0.4537684309061803,0.49410888239199247,90.75368618123603,122.6259880512578,53.26185729168209,2010,2014
56,4,2015-2019,0.458747644210897,0.4222363560671777,91.74952884217939,122.6259880512578,53.26185729168209,2015,2019
56,5,2020-2024,0.4898401896102775,0.5159412266403645,97.96803792205552,122.6259880512578,53.26185729168209,2020,2024
57,1,2000-2004,0.44424655574498884,0.41737911152070983,88.84931114899781,123.50381425901432,53.28723680119337,2000,2004
57,2,2005-2009,0.45565207737611757,0.4511050517831814,91.13041547522349,123.50381425901432,53.28723680119337,2005,2009
57,3,2010-2014,0.46740572353376586,0.49398314938704213,93.48114470675317,123.50381425901432,53.28723680119337,2010,2014
57,4,2015-2019,0.47233083311451174,0.4763969741637129,94.46616662290239,123.50381425901432,53.28723680119337,2015,2019
57,5,2020-2024,0.5039530101641715,0.5433333361153283,100.79060203283439,123.50381425901432,53.28723680119337,2020,2024
128,1,2000-2004,0.4826078366301395,0.5443699999765879,96.52156732602793,122.62003628231469,52.82123800100551,2000,2004
128,2,2005-2009,0.49317896298101904,0.5626463902075471,98.63579259620379,122.62003628231469,52.82123800100551,2005,2009
