grid_cell,block_id,block_label,corrected_richness,effective_species,taxon_shannon,taxon_inverse_simpson,hill_shannon_effective,cwm_log_body_mass,cwm_clutch_size,cwm_longevity_y,cwm_maturity_y,cwm_avonet_hwi,cwm_log_range_size,cwsd_log_body_mass,cwsd_clutch_size,cwsd_longevity_y,cwsd_maturity_y,cwsd_avonet_hwi,cwsd_log_range_size,mean_trait_variability,life_history_trait_volume,life_history_trait_dispersion,life_history_trait_density,trait_rao_q,block_start,block_end,grid_id,centroid_lon,centroid_lat,area_km2,bio1,bio4,bio12,bio15,elev_mean,elev_sd,texture_shannon,texture_entropy,texture_contrast,npp_mean,landcover_trees,landcover_cropland,landcover_built,corrected_richness_ms,phylo_pd,phylo_sr,phylo_mpd_weighted,phylo_mntd_weighted,phylo_species_matched
1,1,2000-2004,27.358562231774805,29,3.6736569434793127,35.80401855734665,39.3957106442131,2.2685251428040885,5.099313273010069,19.771866855168298,1.4018667738010528,38.22330737315894,16.876914737197225,0.6801331864669341,2.173425308140479,7.718249471530243,0.8012597721241187,10.38504712969631,0.7236939311279159,3.7469681331810003,2.0911158133967582,2.6347778216850988,13.083236259083238,0.144700435240611,2000,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.358562231774805,1250.1788079999994,29,131.7781327062824,48.02746247617994,29
1,2,2005-2009,28.39925824309596,30,3.6970401233613175,36.89334000982244,40.327762330898416,2.267059429477875,5.102321149925472,19.72980383333776,1.4005447738574297,38.13077012282802,16.867009524153804,0.6801641158714337,2.158225868085489,7.680308863425379,0.7896784034502004,10.32526208423787,0.7315682052849318,3.7275345900592174,2.043969339386182,2.6202087262865064,13.8941703751899,0.1445091575007793,2005,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.39925824309596,1270.7995289999994,30,131.62125650331168,47.92000691149769,30
1,3,2010-2014,30.006945055673,31,3.7308651960457384,38.42818371746615,41.71518436784671,2.241417842828943,5.1290750266055944,19.483422386106604,1.3911103672221008,37.81633911885762,16.84252274320055,0.6894536580719273,2.122521310628286,7.637297857515238,0.7743693697679028,10.373025812387434,0.7459563096734759,3.723770719674044,2.0226725559608574,2.6172213317997364,14.835295494192533,0.1444754100773538,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.006945055673,1280.4182839999994,31,130.5454237672244,47.14086400230971,31
1,4,2015-2019,31.221601943769826,32,3.738847739032169,38.98841241319914,42.049510230237836,2.252050131925727,5.143450209298657,19.543892760382366,1.3917236312465795,37.791485132062164,16.83956748980682,0.6850901987333583,2.1295532820914023,7.57349972027838,0.766826314427444,10.282590422364517,0.754191491268536,3.69862523819394,1.969971509857896,2.599295000752395,15.848758110223633,0.14426198891118766,2015,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.221601943769823,1291.6038369999994,32,130.60186549088561,46.40133438320397,32
1,5,2020-2024,33.70384953130857,35,3.770089159989939,40.6716257913518,43.38393277442606,2.232096810745783,5.153176422633848,19.226319820066216,1.3939482898738809,37.500496612270446,16.806447794189967,0.6976690618058031,2.1069890828552635,7.474203985562858,0.7536542224422118,10.305833604428015,0.7675003317242037,3.6843083814697257,1.9531056668098976,2.618466685810006,17.25654177551935,0.1444812652495633,2020,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.70384953130857,1320.6434409999995,35,129.4647308908226,45.08329430839259,35
2,1,2000-2004,26.532385160486786,28,3.656054023738581,35.07867336457345,38.708299087028784,2.265023221117752,5.0700472497465725,19.87804260984244,1.4121824135460594,38.40294640397783,16.896285457290226,0.687614727061911,2.1700318898988376,7.8187374158657965,0.8108987655304831,10.320990950881294,0.7134057008270203,3.753613241677557,2.125282821186226,2.659660747078067,12.484166764062838,0.14445552848617862,2000,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.532385160486783,1225.9740589999994,28,131.92391702864134,48.631857798565356,28
2,2,2005-2009,27.57151823062961,29,3.6807872728885465,36.20263183803868,39.677618893369235,2.2640883875777824,5.0761050452884815,19.82626712304108,1.4098819593418008,38.28563672121137,16.884410406147747,0.6873553977968464,2.15436395455679,7.772147169863577,0.7985438686776791,10.265985855791396,0.7216285729173064,3.7333374699339323,2.075124647588242,2.6440350078633594,13.286680519492586,0.14428736941403356,2005,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.57151823062961,1250.1788079999994,29,131.82148810797725,48.58999984928895,29
2,3,2010-2014,29.15434346568004,31,3.7148957073377566,37.78051335356004,41.05430519832629,2.2386056222531714,5.1072621493086094,19.566547354611412,1.3997069520304117,37.942638280763525,16.85796126762498,0.6964077217013158,2.117923413998905,7.7221055303386015,0.7831020327217294,10.319656458156075,0.7368290493726289,3.729337367714876,2.055255872070915,2.6409630075631934,14.18526221569851,0.14425100441800046,2010,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.154343465680036,1280.4182839999994,31,130.73777890001435,47.789717195961046,31
2,4,2015-2019,30.35377723086145,31,3.7238235422048636,38.36758345130691,41.42247227773391,2.250949196394922,5.127447346329443,19.62989794788228,1.3999670154499866,37.922726128553855,16.853804890110577,0.6911119109108472,2.1290219619583444,7.644710404483877,0.7753363434922856,10.226541459412346,0.7456190711330903,3.7020568585651317,1.9988087671558528,2.620574704777931,15.185933606871497,0.1441010990828969,2015,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.35377723086145,1280.4182839999994,31,130.8204481849155,46.974985345192685,31
2,5,2020-2024,32.89216221719908,32,3.75596460114764,40.10282432071882,42.775461175561404,2.2297210400043306,5.148087972811161,19.274738015424795,1.3994393487353742,37.609029688303984,16.81923383512317,0.7032883158655716,2.10821624807025,7.529204770746481,0.7603894593408655,10.266540515931796,0.7587369784897648,3.687729381407455,1.9793047543246227,2.6379867820736558,16.618038301243068,0.14428160039386986,2020,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.89216221719908,1291.6038369999994,32,129.69847781897798,45.565715179644826,32
