grid_cell,block_id,prev_block_id,temporal_beta_bray,temporal_beta_jaccard_prob,delta_corrected_richness,temporal_shift_cwm,temporal_shift_trait_volume,block_start,block_end,block_label,grid_id,centroid_lon,centroid_lat,area_km2,bio1,bio4,bio12,bio15,elev_mean,elev_sd,texture_shannon,texture_entropy,texture_contrast,npp_mean,landcover_trees,landcover_cropland,landcover_built
1,2,1,0.0312556331124058,0.06061665431697916,1.040696011321156,0.04221659778405002,0.047146474010576256,2005,2009,2005-2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,2,0.03465993861275508,0.066997739680974,1.6076868125770396,0.24933127852631914,0.021296783425324595,2010,2014,2010-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,3,0.025546900113965692,0.049821027416935615,1.214656888096826,0.06306134875429706,0.052701046102961335,2015,2019,2015-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,4,0.04562411000507632,0.08726675211200885,2.482247587538744,0.3183555493139784,0.01686584304799843,2020,2024,2020-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1,0.03232590336844299,0.0626273219783886,1.0391330701428245,0.0521877756149701,0.050158173597984135,2005,2009,2005-2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,2,0.03534686016770578,0.06828022864140482,1.5828252350504286,0.26301715789365887,0.01986877551732702,2010,2014,2010-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,3,0.026670581330408068,0.051955479810957717,1.1994337651814106,0.06762522681748293,0.05644710491506211,2015,2019,2015-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,4,0.04814096059922759,0.09185970667858512,2.538384986337629,0.3563923766590257,0.019504012831230044,2020,2024,2020-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,1,0.03130221222846315,0.060704247227055474,1.0626306230260951,0.039658319724663126,0.05101356455867467,2005,2009,2005-2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,2,0.03413535430647961,0.06601718849341898,1.6119545826979262,0.24480743179135145,0.022241552194396164,2010,2014,2010-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,3,0.025336136690370974,0.04942015751468953,1.1912102570586676,0.0638612077730037,0.053740004024328325,2015,2019,2015-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,4,0.04497044747891431,0.08607027612581697,2.4921263646011447,0.3242720276529763,0.01810028697081356,2020,2024,2020-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,1,0.027650160249274632,0.05381239904165014,1.0246496602145,0.05372018383220004,0.045503457969693795,2005,2009,2005-2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,2,0.031272292438768994,0.06064798340468469,1.5859593152986875,0.239575963548381,0.016658093318735467,2010,2014,2010-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,3,0.02162756625537496,0.04233943360523729,1.07755779126623,0.0503330635666332,0.040971002835482384,2015,2019,2015-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,4,0.03911472587772559,0.07528471092484246,2.251103246660392,0.3057529624239842,0.011661286616531985,2020,2024,2020-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
