species,n_grid_year_detections,n_blocks_detected,n_grids_detected,candidate_rank,selected_in_run
Emberiza fucata,768,5,275,247,FALSE
Megaceryle lugubris,764,5,222,248,FALSE
Glaucidium brodiei,762,5,228,249,FALSE
Butastur indicus,760,5,270,250,FALSE
Remiz consobrinus,759,5,226,251,FALSE
Cuculus poliocephalus,757,5,261,252,FALSE
Larus vegae,751,4,316,253,FALSE
Hierococcyx sparverioides,749,5,308,254,FALSE
Pericrocotus cantonensis,745,5,246,255,FALSE
Pseudopodoces humilis,744,5,180,256,FALSE
Calidris ruficollis,735,5,195,257,FALSE
Phylloscopus trochiloides,732,5,219,258,FALSE
Luscinia svecica,728,5,275,259,FALSE
Enicurus schistaceus,723,5,179,260,FALSE
Poecile montanus,722,5,242,261,FALSE
Phylloscopus coronatus,722,5,239,262,FALSE
Turdus rubrocanus,722,5,167,263,FALSE
Gypaetus barbatus,721,5,217,264,FALSE
Muscicapa dauurica,720,5,314,265,FALSE
Linaria flavirostris,717,5,206,266,FALSE
Dendronanthus indicus,715,5,249,267,FALSE
Cygnus cygnus,713,5,263,268,FALSE
Passer domesticus,712,5,309,269,FALSE
Cygnus columbianus,711,5,233,270,FALSE
Prunella strophiata,708,5,155,271,FALSE
Botaurus stellaris,704,5,258,272,FALSE
Mergellus albellus,703,5,245,273,FALSE
Circus melanoleucos,696,5,274,274,FALSE
Otus sunia,695,5,246,275,FALSE
Pericrocotus speciosus,695,5,173,276,FALSE
Anthus cervinus,692,5,225,277,FALSE
Accipiter gularis,689,5,241,278,FALSE
Centropus bengalensis,685,5,230,279,FALSE
Enicurus scouleri,685,5,181,280,FALSE
Pluvialis squatarola,681,5,161,281,FALSE
Dicaeum ignipectus,679,5,188,282,FALSE
Coturnix japonica,678,5,222,283,FALSE
Zoothera aurea,678,5,219,284,FALSE
Alcippe hueti,677,5,141,285,FALSE
Phoenicurus erythrogastrus,674,5,235,286,FALSE
Turdus ruficollis,671,5,293,287,FALSE
Alcippe davidi,670,5,200,288,FALSE
Grus grus,661,5,249,289,FALSE
Phylloscopus pulcher,656,5,147,290,FALSE
Prunella fulvescens,653,5,207,291,FALSE
Phylloscopus armandii,652,5,179,292,FALSE
Corvus pectoralis,648,5,209,293,FALSE
Larus crassirostris,647,5,125,294,FALSE
Numenius phaeopus,639,5,156,295,FALSE
Oenanthe isabellina,636,5,232,296,FALSE
Pnoepyga pusilla,631,5,185,297,FALSE
Calidris subminuta,629,5,220,298,FALSE
Gelochelidon nilotica,629,5,196,299,FALSE
Pyrgilauda ruficollis,629,5,157,300,FALSE
Lanius tigrinus,626,5,233,301,FALSE
Galerida cristata,624,5,264,302,FALSE
Muscicapa griseisticta,618,5,189,303,FALSE
Phoenicurus leucocephalus,610,4,257,304,FALSE
Glareola maldivarum,607,5,199,305,FALSE
Pica bottanensis,606,5,177,306,FALSE
Turdus obscurus,603,5,199,307,FALSE
Charadrius leschenaultii,600,5,172,308,FALSE
Ciconia boyciana,599,5,203,309,FALSE
Calidris ferruginea,597,5,207,310,FALSE
Alaudala cheleensis,596,5,232,311,FALSE
Poecile palustris,595,5,226,312,FALSE
Aethopyga gouldiae,590,5,152,313,FALSE
Blythipicus pyrrhotis,589,5,156,314,FALSE
Anser albifrons,585,5,211,315,FALSE
Phoenicurus schisticeps,585,5,132,316,FALSE
Turdus cardis,584,5,205,317,FALSE
Grus nigricollis,584,5,163,318,FALSE
Turdus pallidus,578,5,159,319,FALSE
Periparus rubidiventris,577,5,115,320,FALSE
Pericrocotus divaricatus,575,5,223,321,FALSE
Pyrrhula erythaca,575,5,122,322,FALSE
Phylloscopus schwarzi,574,5,239,323,FALSE
Ixobrychus cinnamomeus,568,5,212,324,FALSE
Oenanthe deserti,565,5,248,325,FALSE
Phylloscopus affinis,565,5,163,326,FALSE
Prunella rubeculoides,565,5,151,327,FALSE
Phylloscopus plumbeitarsus,563,5,215,328,FALSE
Phylloscopus yunnanensis,561,5,157,329,FALSE
Onychostruthus taczanowskii,558,5,157,330,FALSE
Hydroprogne caspia,555,5,160,331,FALSE
Xenus cinereus,555,5,144,332,FALSE
Phylloscopus magnirostris,554,5,149,333,FALSE
Lanius bucephalus,550,5,219,334,FALSE
Cuculus saturatus,547,5,225,335,FALSE
Anser serrirostris,545,5,203,336,FALSE
Monticola rufiventris,545,5,162,337,FALSE
Corvus dauuricus,544,4,292,338,FALSE
Erpornis zantholeuca,538,5,135,339,FALSE
Otocichla mupinensis,536,5,160,340,FALSE
Paradoxornis gularis,535,5,146,341,FALSE
Cyanoptila cyanomelana,533,5,171,342,FALSE
Coccothraustes coccothraustes,527,5,229,343,FALSE
Ficedula mugimaki,524,5,163,344,FALSE
Turdus kessleri,522,5,112,345,FALSE
Oenanthe pleschanka,518,5,209,346,FALSE
Aquila nipalensis,516,5,236,347,FALSE
Emberiza rutila,516,5,185,348,FALSE
Larvivora sibilans,513,5,157,349,FALSE
Calidris acuminata,512,5,149,350,FALSE
Lophura nycthemera,509,5,131,351,FALSE
Aviceda leuphotes,503,5,179,352,FALSE
Horornis canturians,502,4,241,353,FALSE
Hydrophasianus chirurgus,501,5,181,354,FALSE
Larus canus,501,5,180,355,FALSE
Cinclus cinclus,495,5,150,356,FALSE
Carpodacus dubius,495,5,113,357,FALSE
Mycerobas carnipes,493,5,129,358,FALSE
Carpodacus pulcherrimus,493,5,124,359,FALSE
Otus lettia,492,5,183,360,FALSE
Hirundapus caudacutus,491,5,186,361,FALSE
Aerodramus brevirostris,491,5,162,362,FALSE
Sibirionetta formosa,488,5,204,363,FALSE
Phylloscopus subaffinis,481,5,170,364,FALSE
Arenaria interpres,481,5,130,365,FALSE
Lalage melaschistos,476,4,208,366,FALSE
Lophophanes dichrous,476,5,97,367,FALSE
Tichodroma muraria,475,5,176,368,FALSE
Phylloscopus tenellipes,471,5,169,369,FALSE
Horornis diphone,471,5,142,370,FALSE
Phylloscopus forresti,469,5,106,371,FALSE
Staphida torqueola,467,5,176,372,FALSE
Aythya baeri,466,5,189,373,FALSE
Rhopophilus pekinensis,466,5,166,374,FALSE
Ficedula erithacus,463,5,129,375,FALSE
Emberiza leucocephalos,462,5,184,376,FALSE
Leucosticte nemoricola,461,5,153,377,FALSE
Lanius isabellinus,460,5,207,378,FALSE
Phylloscopus ricketti,452,5,171,379,FALSE
Oenanthe oenanthe,451,5,176,380,FALSE
Sitta villosa,447,5,135,381,FALSE
Calliope calliope,445,4,217,382,FALSE
Numenius madagascariensis,444,5,108,383,FALSE
Rallus indicus,441,5,180,384,FALSE
Rhipidura albicollis,441,5,86,385,FALSE
Aegypius monachus,440,5,197,386,FALSE
Terpsiphone incei,440,5,197,387,FALSE
Emberiza schoeniclus,439,5,176,388,FALSE
Limosa lapponica,436,5,106,389,FALSE
Delichon urbicum,434,5,197,390,FALSE
Scolopax rusticola,434,5,186,391,FALSE
Zapornia akool,434,5,160,392,FALSE
Leptopoecile sophiae,434,5,118,393,FALSE
Dendrocopos hyperythrus,433,5,156,394,FALSE
Tarsiger rufilatus,432,5,103,395,FALSE
Turdus atrogularis,429,5,217,396,FALSE
Pica pica,429,5,187,397,FALSE
Buteo refectus,428,5,134,398,FALSE
Pyrrhocorax graculus,426,5,159,399,FALSE
Urosphena squameiceps,424,5,144,400,FALSE
Acridotheres tristis,423,5,157,401,FALSE
Apus salimalii,422,5,107,402,FALSE
Yuhina nigrimenta,420,5,116,403,FALSE
Zosterops palpebrosus,418,5,104,404,FALSE
Carpodacus sibiricus,416,5,185,405,FALSE
Clamator coromandus,415,5,170,406,FALSE
Loxia curvirostra,413,5,180,407,FALSE
Sitta nagaensis,413,5,88,408,FALSE
Rostratula benghalensis,411,5,170,409,FALSE
Petronia petronia,410,5,129,410,FALSE
Falco cherrug,409,4,236,411,FALSE
Platalea minor,409,5,101,412,FALSE
Bombycilla garrulus,408,5,207,413,FALSE
Bombycilla japonica,406,5,167,414,FALSE
Hieraaetus pennatus,405,5,174,415,FALSE
Cacomantis merulinus,404,5,134,416,FALSE
Carpodacus rubicilloides,403,5,118,417,FALSE
Phylloscopus reguloides,401,5,109,418,FALSE
Chloropsis hardwickii,400,5,104,419,FALSE
Bubo bubo,399,5,201,420,FALSE
Carpodacus waltoni,399,5,115,421,FALSE
Ficedula strophiata,398,5,111,422,FALSE
Calidris alba,392,5,101,423,FALSE
Heterophasia desgodinsi,391,5,101,424,FALSE
Eophona personata,390,5,158,425,FALSE
Horornis acanthizoides,383,5,119,426,FALSE
Calidris tenuirostris,381,5,83,427,FALSE
Calidris falcinellus,380,5,107,428,FALSE
Emberiza aureola,377,4,200,429,FALSE
Falco columbarius,377,5,175,430,FALSE
Parus major,377,5,139,431,FALSE
Carpodacus vinaceus,377,5,97,432,FALSE
Aegithalos caudatus,375,5,179,433,FALSE
Myiomela leucura,374,5,116,434,FALSE
Dendrocopos leucotos,373,5,151,435,FALSE
Leucosticte brandti,373,5,131,436,FALSE
Larus fuscus,373,5,106,437,FALSE
Pteruthius aeralatus,372,5,90,438,FALSE
Agropsar sturninus,371,5,167,439,FALSE
Mergus serrator,371,5,122,440,FALSE
Egretta eulophotes,371,5,87,441,FALSE
Haliaeetus albicilla,368,5,164,442,FALSE
Tringa brevipes,368,5,97,443,FALSE
Haematopus ostralegus,368,5,94,444,FALSE
Psilopogon faber,364,5,115,445,FALSE
Mergus squamatus,358,5,142,446,FALSE
Pterorhinus davidi,356,4,146,447,FALSE
Prunella collaris,356,5,138,448,FALSE
Panurus biarmicus,356,5,134,449,FALSE
Aythya marila,355,5,138,450,FALSE
Montifringilla adamsi,355,5,111,451,FALSE
Certhia familiaris,354,5,150,452,FALSE
Buteo rufinus,352,5,168,453,FALSE
Asio flammeus,352,5,159,454,FALSE
Pericrocotus brevirostris,352,5,95,455,FALSE
Prinia superciliaris,350,5,105,456,FALSE
Prunella montanella,347,5,150,457,FALSE
Perdix hodgsoniae,344,5,108,458,FALSE
Sturnia sinensis,343,5,94,459,FALSE
Phylloscopus goodsoni,339,5,117,460,FALSE
Nisaetus nipalensis,338,5,110,461,FALSE
Calidris canutus,338,5,84,462,FALSE
Chloropsis lazulina,337,5,139,463,FALSE
Terpsiphone paradisi,337,5,124,464,FALSE
Ithaginis cruentus,336,5,77,465,FALSE
Ibidorhyncha struthersii,331,5,128,466,FALSE
Cyanistes cyanus,330,5,121,467,FALSE
Columba leuconota,330,5,111,468,FALSE
Charadrius mongolus,329,4,131,469,FALSE
Grus virgo,326,5,140,470,FALSE
Chloris ambigua,325,5,80,471,FALSE
Alectoris chukar,323,5,167,472,FALSE
Asio otus,323,5,157,473,FALSE
Pterorhinus pectoralis,323,5,129,474,FALSE
Calidris pugnax,322,5,131,475,FALSE
Turdus merula,321,5,121,476,FALSE
Larus relictus,321,5,96,477,FALSE
Lanius phoenicuroides,320,5,111,478,FALSE
Sylviparus modestus,317,5,73,479,FALSE
Emberiza yessoensis,316,5,119,480,FALSE
Ictinaetus malaiensis,314,4,134,481,FALSE
Limnodromus semipalmatus,313,5,118,482,FALSE
Chrysolophus pictus,313,5,101,483,FALSE
Phylloscopus maculipennis,313,5,77,484,FALSE
Aegithalos iouschistos,313,5,67,485,FALSE
Muscicapa ferruginea,307,5,104,486,FALSE
Certhia hodgsoni,306,5,72,487,FALSE
Poecile weigoldicus,305,5,73,488,FALSE
Trochalopteron affine,305,5,69,489,FALSE
Niltava sundara,303,5,86,490,FALSE
Locustella lanceolata,302,5,117,491,FALSE
Merops viridis,302,5,108,492,FALSE
Falco naumanni,301,5,129,493,FALSE
Fulvetta cinereiceps,301,5,70,494,FALSE
Anthus godlewskii,300,5,150,495,FALSE
Hypothymis azurea,297,5,76,496,FALSE
Turdus dissimilis,295,5,80,497,FALSE
Lioparus chrysotis,295,5,71,498,FALSE
Monticola gularis,294,5,97,499,FALSE
Harpactes erythrocephalus,292,5,73,500,FALSE
Minla ignotincta,289,5,74,501,FALSE
Ixobrychus eurhythmus,288,5,139,502,FALSE
Phylloscopus castaniceps,288,4,128,503,FALSE
Ficedula tricolor,288,5,95,504,FALSE
Erythrogenys gravivox,287,3,136,505,FALSE
Pteruthius xanthochlorus,287,5,96,506,FALSE
Phylloscopus ogilviegranti,285,5,98,507,FALSE
Emberiza siemsseni,285,5,83,508,FALSE
Dryobates cathpharius,284,5,76,509,FALSE
Carpodacus rubicilla,281,5,122,510,FALSE
Niltava davidi,280,5,92,511,FALSE
Sinosuthora alphonsiana,280,5,67,512,FALSE
Calidris minuta,279,5,127,513,FALSE
Gallinago stenura,278,5,143,514,FALSE
Phalaropus lobatus,273,5,120,515,FALSE
Geokichla sibirica,272,5,106,516,FALSE
Garrulax monileger,272,5,79,517,FALSE
Fringilla coelebs,271,5,111,518,FALSE
Turdus boulboul,270,5,97,519,FALSE
Grus vipio,269,5,94,520,FALSE
Prunella immaculata,269,5,67,521,FALSE
Melanocorypha maxima,267,5,86,522,FALSE
Yuhina gularis,266,5,61,523,FALSE
Perdix dauurica,264,5,105,524,FALSE
Cyornis hainanus,264,5,83,525,FALSE
Fulvetta ruficapilla,264,5,74,526,FALSE
Enicurus maculatus,264,5,69,527,FALSE
Muscicapa muttui,262,5,114,528,FALSE
Calandrella acutirostris,262,5,92,529,FALSE
Dicaeum minullum,261,5,101,530,FALSE
Turdus viscivorus,261,5,78,531,FALSE
Numenius minutus,259,5,94,532,FALSE
Poecile superciliosus,259,5,65,533,FALSE
Surniculus lugubris,257,5,125,534,FALSE
Brachypteryx leucophris,257,5,83,535,FALSE
Emberiza lathami,256,5,102,536,FALSE
Cuculus optatus,254,5,120,537,FALSE
Ficedula narcissina,254,5,86,538,FALSE
Fulvetta vinipectus,254,5,55,539,FALSE
Ninox japonica,252,5,94,540,FALSE
Grus monacha,252,5,87,541,FALSE
Carduelis carduelis,251,5,82,542,FALSE
Pucrasia macrolopha,250,5,90,543,FALSE
Syrrhaptes paradoxus,249,5,118,544,FALSE
Geokichla citrina,248,5,89,545,FALSE
Strix nivicolum,246,5,104,546,FALSE
Parayuhina diademata,246,4,89,547,FALSE
Prinia hodgsonii,246,5,69,548,FALSE
Columba hodgsonii,243,5,61,549,FALSE
Prinia striata,242,5,126,550,FALSE
Saundersilarus saundersi,241,3,88,551,FALSE
Psilopogon asiaticus,241,5,53,552,FALSE
Tetraogallus tibetanus,240,5,85,553,FALSE
Coracias garrulus,239,5,71,554,FALSE
Montifringilla henrici,237,5,74,555,FALSE
Niltava macgrigoriae,235,5,75,556,FALSE
Actinodura cyanouroptera,234,3,97,557,FALSE
Hypsipetes amaurotis,234,5,85,558,FALSE
Gallinago megala,233,5,128,559,FALSE
Passer ammodendri,232,5,109,560,FALSE
Poecile hypermelaenus,232,5,85,561,FALSE
Pterorhinus lanceolatus,231,3,94,562,FALSE
Cyornis whitei,231,5,68,563,FALSE
Tarsiger chrysaeus,231,5,61,564,FALSE
Aegithalos fuliginosus,231,5,58,565,FALSE
Chalcophaps indica,229,5,71,566,FALSE
Paradoxornis guttaticollis,228,5,92,567,FALSE
Horornis flavolivaceus,228,5,72,568,FALSE
Carpodacus roseus,226,5,113,569,FALSE
Cettia castaneocoronata,221,5,62,570,FALSE
Dicrurus aeneus,219,5,51,571,FALSE
Phylloscopus occisinensis,218,3,95,572,FALSE
Arundinax aedon,217,3,146,573,FALSE
Anser erythropus,217,5,90,574,FALSE
Paradoxornis heudei,217,4,86,575,FALSE
Pyrgilauda blanfordi,217,5,78,576,FALSE
Tragopan temminckii,217,5,56,577,FALSE
Nettapus coromandelianus,216,4,105,578,FALSE
Cygnus olor,216,4,103,579,FALSE
Dryocopus martius,216,5,85,580,FALSE
Buteo lagopus,215,5,111,581,FALSE
Monticola saxatilis,214,5,91,582,FALSE
Phylloscopus kansuensis,214,5,65,583,FALSE
Leptopoecile elegans,213,5,55,584,FALSE
Chloris chloris,212,5,69,585,FALSE
Rhodospiza obsoleta,211,5,102,586,FALSE
Otus spilocephalus,211,5,78,587,FALSE
Calandrella brachydactyla,209,5,101,588,FALSE
Clanga clanga,208,4,118,589,FALSE
Emberiza yunnanensis,206,3,114,590,FALSE
